Id,Name,Manufacturer,Model,Quantity,Category,Spec,Appearance,Location,Location (if in use),Is Loan,Origin,Additional Information,Photos
1,Steel Rule,Column1,,1,Measurement,30cm,,?,,,,Unit conversion table printed on one side,gb_1200.jpg;gb_1200.jpg;gb_1200.jpg
2,Steel Rule,Draper,,1,Measurement,30cm,,?,,,,,
3,Screwdriver,Bondhus,,1,Hex driver,"3/16""",Yellow (translucent),?,,,,"8"" shank!",
4,Screwdriver,,,1,Hex driver,,Black (translucent),?,,,,hex shank,
5,Screwdriver,,,1,Flat head screwdriver,,Black and red,?,,,,"Not a Forge Steel driver.  6"" long.",
6,Screwdriver,Steadfast,,1,Flat head screwdriver,,Black,?,,,,"4.5"" long",
7,Screwdriver,,,1,Phillips head screwdriver,,Red (translucent),?,,,,Square shank,
8,Screwdriver,,,1,Phillips head screwdriver,,Yellow (translucent),?,,,,,
9,Screwdriver,,,1,Phillips head screwdriver,,"Black plastic, Red rubber grip",?,,,,,
10,4 pack of misc driver bits,,,5,,,Yellow case,?,,,,,
11,8 piece Spanner set,Komayo,,1,Spanner set,,,?,,,,Held together with an elastic,
12,Cordless Hammer Drill Kit,Performance Power Pro,,1,"Hammer Drill, Cordless",,Black plastic case with Yellow clips,Shelf 1,,,,"Contains drill, charging station, 2x 14.4V battery",
13,30 Bin Organiser,,,1,Storage,,Blue metal with clear drawers,Shelf 1,,,,5x5 small + 3 medium + 2 large drawers,
14,27 Bin Organiser,Stack-On,,1,Storage,,Grey plastic with clear drawers,Shelf 1,,,,23 small +  4 medium drawers,
15,High Top tool boox,Zag,,1,Toolbox,49.5cm,Dark blue pastic with Red clips and handle,Shelf 1,,,,,
16,Small plastic toolbox,,,1,Toolbox,,Black with Yellow clips and handle,Shelf 1,,,,,
17,Bench Grinder 150mm,Energer,,1,Bench Grinder,150mm,In blue cardboard box,Shelf 1,,,,Might be Hugh's.  Dunno.,
18,Cordless Hammer Drill 14.4V Kit,Worx,WX14HD.1,1,"Hammer Drill, Cordless",,Black plastic case with Orange handle,Shelf 1,,,,"Contains drill, 1x 14.4V battery.  Missing charging station and 1x 14.4V battery.",
19,Cordless Circular Saw 14.4V,Performance Power Pro,CLM144CS,1,"Circular Saw, Cordless",,Blue and Grey plastic with Yellow buttons,Shelf 1,,,,,
20,Engager GSIII (drone / Quadcopter),Keyence,E-770,1,Toy,,In Purble and Black box,Shelf 1,,,,,
21,Eliptical radiant heater,Heater,,1,,,Eliptical in shape,Shelf 1,,,,,
22,Xbox 360 Kinect,Microsoft,,1,,,Black plastic,"Shelf 1, Box Murcutt",,TRUE,Paul Murcutt,,
23,VGA cable,,,1,,,,"Shelf 1, Box Murcutt",,TRUE,Paul Murcutt,,
24,12V power adapter,,,1,,,,"Shelf 1, Box Murcutt",,TRUE,Paul Murcutt,,
25,LCD Projector,Hitachi,CP-X260,1,,,Grey plastic,"Shelf 1, Box Murcutt",,TRUE,Paul Murcutt,,
26,"Needle File set, 6 piece",Draper,,1,Needle File,,Blue soft plastic case,"Shelf 2, Abrasive Tools Bin",,,,,
27,Roll of 120 sandpaper,,,1,,120,"Roll of 120 sand paper, white","Shelf 2, Abrasive Tools Bin",,,,,
28,Sheet of 120 sandpaper,,,1,,120,"Sheet of 120 snadpaper, brown","Shelf 2, Abrasive Tools Bin",,,,,
29,20cm File,Draper,,1,File,,"Blue handled file, 20cm long shaft","Shelf 2, Abrasive Tools Bin",,,,,
30,20cm File,Draper,,1,File,,"Blue and black handled file, 20cm long shaft","Shelf 2, Abrasive Tools Bin",,,,,
31,Hand shaver,Draper,,3,Shaver,,Blue handled shaver,"Shelf 2, Abrasive Tools Bin",,,,,
32,Shaver blade,,,2,,,Shaver blades mounted on orange and white card,"Shelf 2, Abrasive Tools Bin",,,,,
33,20cm File,RS,,2,File,20cm,Red handle,"Shelf 2, Abrasive Tools Bin",,,,,
34,25cm File,RS,,1,File,25cm,Red handle,"Shelf 2, Abrasive Tools Bin",,,,,
35,Half circle File,Forge Steel,,1,File,,Black and red handle,"Shelf 2, Abrasive Tools Bin",,,,,
36,Puncture repair kit,Rema,MD5712,1,Repair Kit,,A puncture repair kit in a plastic cyan box,"Shelf 2, Bicycle Bin",,,,,
37,freewheel chain whip,Bikehut,,1,Repair Kit,"5, 6, 7 and 8 speed",A steel shaft with some bicycle chain at one end nd a grey rubber handle at the other,"Shelf 2, Bicycle Bin",,,,,
38,Cassette Lockring Tool,Jobsworth,,1,Repair Kit,,A steel shaft with a black and red rubber handle and a hollow cylinder containing a much thinner and longer solid cylinder at the other end.,"Shelf 2, Bicycle Bin",,,,,
39,Micro chain tool,Cyclo,,1,Repair Kit,"5, 6, 7, 8 and 9","A black metal shaft with a hexagonal cylinder at the top, making a T shape, combined with a metal screw with an asymetrical turning handle","Shelf 2, Bicycle Bin",,,,,
40,Chain loop,KMC Z,,1,,narrow,Several metal chain links in a loop,"Shelf 2, Bicycle Bin",,,,,
41,Chain link,KMC Z,CL571,1,,,A single metal chain link,"Shelf 2, Bicycle Bin",,,,,
42,Fretsaw,,,1,Fretsaw,,"Black frame, red wooden handle","Shelf 2, Cutting",,,,No blade,
43,301 Coping saw,Sandvik,,1,Coping saw,,Orange wooden handle,"Shelf 2, Cutting",,,,,
44,"Bag of 6"" hacksaw blades",,,1,"Consumable, Hacksaw Blade","6""",Clear bag,"Shelf 2, Cutting",,,,,
45,Large hacksaw,,,1,Hacksaw,,Black metal frame with Black and Orange handle,"Shelf 2, Cutting",,,,,
46,Small hacksaw,Forge Steel,,1,Hacksaw,,Metal frame with Black and Red handle,"Shelf 2, Cutting",,,,,
47,Stanley knife with Stanley 1275B Saw Blade For Wood,Stanley,,1,Wood saw,,Red metal handle,"Shelf 2, Cutting",,,,,
48,Junior Hacksaw,,,1,Hacksaw,,Metal handle,"Shelf 2, Cutting",,,,,
49,Junior Hacksaw,Stanley,,1,Hacksaw,,Metal frame with Black plastic casing,"Shelf 2, Cutting",,,,,
50,Disposable box cutter/craft knife,,,2,Cutter,,Various colours,"Shelf 2, Cutting",,,,,
51,Small Scissors,,,1,Scissors,,Black and Red Handle,"Shelf 2, Cutting",,,,"6"" long",
52,Large Scissors,,,1,Scissors,,Black and Red Handle,"Shelf 2, Cutting",,,,"8.5"" long",
53,Pack of isosceles trapezoidal cutter blades,,,1,"Consumable, Cutter Blade",,Wrapped in tape (for safety),"Shelf 2, Cutting",,,,,
54,Pack of parallelogram cutter blades,,,1,"Consumable, Cutter Blade",,Clear plastic case with Black cap,"Shelf 2, Cutting",,,,,
55,Tenon saw,,,1,Wood saw,,Black blade with Red wood handle,"Shelf 2, Cutting",,,,,
56,Needlenose pliers,,,2,Pliers,,Black handles,"Shelf 2, Pliers Bin",,,,12cm long,
57,Pliers,,,1,Pliers,,Black handles,"Shelf 2, Pliers Bin",,,,12 cm long,
58,Hand Borer,Draper,,1,,,Blue,"Shelf 3, Bits Bin",,,,,
59,3 x 2.5 mm drill bits,Irwin,,1,,,yellow packet,"Shelf 3, Bits Bin",,,,,
60,19 piece drill bit set,,,1,,,black box,"Shelf 3, Bits Bin",,,,only 16 bits,
61,15 piece Masonry Bit set,,,1,Masonry Bit set,,Grey and red case,"Shelf 3, Bits Bin",,,,Slightly mismatched,
62,24mm and 30mm holesaw with arbor,,,1,Hole Saw,"24mm, 30mm",Red (translucent),"Shelf 3, Bits Bin",,,,Stored in PVC tube with tape on ends,
63,5 piece spur bit wood drill set,DeWalt,,1,Wood drill set,"4mm, 5mm, 6mm, 8mm, 10mm",Yellow box,"Shelf 3, Bits Bin",,,,,
64,Quick grip clamp,,,2,Clamp,,Black and Yellow,"Shelf 3, Clamps Bin",,,,,
65,Medium spring clamp,,,2,Clamp,,Black and Red,"Shelf 3, Clamps Bin",Arcade lab,,,,
66,Small spring clamp,,,1,Clamp,,Black and Red,"Shelf 3, Clamps Bin",,,,,
67,"3"" G clamp",,,1,Clamp,,Black,"Shelf 3, Clamps Bin",,,,,
68,"4"" G Clamp",,,1,Clamp,,Blue,"Shelf 3, Clamps Bin",,,,,
69,"4"" G Clamp",Drop Forged Steel,M100 Kennedy 539-224,2,,,Blue,"Shelf 3, Clamps Bin",,,,,
70,"9"" spirit level",B&Q,,2,Level,,9” spirit level,"Shelf 3, Measurement Bin",,,,,
71,Value tape measure,B&Q,,2,Measurement,3m,Various colours,"Shelf 3, Measurement Bin",,,,,
72,Measuring tape,Korbond,,1,Measurement,150cm,,"Shelf 3, Measurement Bin",,,,,
73,Vernier caliper,Forge Steel,,1,Measurement,0.02mm,,"Shelf 3, Measurement Bin",,,,,
74,Fixed hex bit driver,Forge Steel,,1,Hex bit driver,,Black and red,"Shelf 3, Screwdrivers Bin",,,,,
75,Ratchet hex bit driver,Stanley,,1,Hex bit driver,,Black and yellow,"Shelf 3, Screwdrivers Bin",,,,Includes 4 bits.  Missing 1 bit and 1 hex adapter.,
76,Socket driver,Spiralux,,1,Hex socket driver,4505 5BA,Black,"Shelf 3, Screwdrivers Bin",,,,,
77,Socket driver,Roebuck,,1,Hex socket driver,10 M/M,Purple and Red,"Shelf 3, Screwdrivers Bin",,,,,
78,Socket driver,Spiralux,,2,Hex socket driver,4506 6BA,Black,"Shelf 3, Screwdrivers Bin",,,,,
79,Socket driver,Spiralux,,1,Hex socket driver,4505 4BA,Black,"Shelf 3, Screwdrivers Bin",,,,,
80,Socket driver,Spiralux,,1,Hex socket driver,"M4, 7mm A/F",Black and green,"Shelf 3, Screwdrivers Bin",,,,,
81,Socket driver,Roebuck,,2,Hex socket driver,"5BA, 7/32"" AF, 5.5 M/M",Red (translucent),"Shelf 3, Screwdrivers Bin",,,,,
